rank,correct,total,unresolved,original_accuracy_percent,mean_percent,standard_deviation_percent,ci_lower_percent,ci_upper_percent,mean_total,mean_unresolved,valid_replicates
class,959,1000,3,95.89999999999999,95.84199999999998,0.5949586183725376,94.89999999999999,96.8,1000.0,3.03,100
order,943,1000,3,94.3,94.22999999999998,0.682464340282751,93.2,95.41,1000.0,3.03,100
family,909,1000,3,90.9,90.867,0.8829536062031074,89.69500000000001,92.305,1000.0,3.03,100
genus,792,1000,0,79.2,79.127,1.1697237004325158,77.2,81.005,1000.0,0.0,100
species,626,1000,0,62.6,62.365,1.6791276595213664,59.485,64.71000000000001,1000.0,0.0,100
strain,63,254,97,24.803149606299215,24.498202058540127,2.8552885698953787,19.415736934820902,28.576965669988923,251.98,96.96,100
